Student ID,Attendance %
S006,78
S007,92
S008,85
S009,64
S010,91
S011,88
S012,73
S013,99
S014,81
S015,76
S016,95
S017,89
S018,68
S019,84
S020,93
S021,79
S022,100
S023,72
S024,87
S025,90
S026,82
S027,94
S028,77
S029,86
S030,91
S031,65
S032,88
S033,97
S034,74
S035,83
S036,92
S037,71
S038,89
S039,80
S040,96
S041,85
S042,90
S043,76
S044,98
S045,84
S046,79
S047,93
S048,70
S049,87
S050,91
S051,82
S052,95
S053,78
S054,86
S055,89
S056,92
S057,75
S058,94
S059,81
S060,90
