Student ID,Subject,Marks,Maximum Marks
S006,Math,65,100
S006,Reading,70,100
S006,Writing,68,100
S007,Math,88,100
S007,Reading,92,100
S007,Writing,85,100
S008,Math,55,100
S008,Reading,60,100
S008,Writing,58,100
S009,Math,78,100
S009,Reading,84,100
S009,Writing,80,100
S010,Math,91,100
S010,Reading,89,100
S010,Writing,94,100
S011,Math,73,100
S011,Reading,76,100
S011,Writing,72,100
S012,Math,62,100
S012,Reading,68,100
S012,Writing,65,100
S013,Math,85,100
S013,Reading,88,100
S013,Writing,90,100
S014,Math,77,100
S014,Reading,81,100
S014,Writing,75,100
S015,Math,59,100
S015,Reading,64,100
S015,Writing,62,100
S016,Math,95,100
S016,Reading,92,100
S016,Writing,96,100
S017,Math,82,100
S017,Reading,85,100
S017,Writing,80,100
S018,Math,48,100
S018,Reading,55,100
S018,Writing,52,100
S019,Math,70,100
S019,Reading,74,100
S019,Writing,72,100
S020,Math,89,100
S020,Reading,94,100
S020,Writing,91,100
S021,Math,68,100
S021,Reading,72,100
S021,Writing,65,100
S022,Math,98,100
S022,Reading,95,100
S022,Writing,97,100
S023,Math,60,100
S023,Reading,65,100
S023,Writing,62,100
S024,Math,84,100
S024,Reading,87,100
S024,Writing,82,100
S025,Math,90,100
S025,Reading,88,100
S025,Writing,92,100
S026,Math,76,100
S026,Reading,80,100
S026,Writing,75,100
S027,Math,81,100
S027,Reading,85,100
S027,Writing,88,100
S028,Math,67,100
S028,Reading,70,100
S028,Writing,64,100
S029,Math,74,100
S029,Reading,78,100
S029,Writing,72,100
S030,Math,87,100
S030,Reading,91,100
S030,Writing,85,100
S031,Math,52,100
S031,Reading,58,100
S031,Writing,55,100
S032,Math,79,100
S032,Reading,83,100
S032,Writing,81,100
S033,Math,92,100
S033,Reading,90,100
S033,Writing,95,100
S034,Math,63,100
S034,Reading,69,100
S034,Writing,66,100
S035,Math,71,100
S035,Reading,75,100
S035,Writing,70,100
S036,Math,86,100
S036,Reading,89,100
S036,Writing,84,100
S037,Math,58,100
S037,Reading,62,100
S037,Writing,60,100
S038,Math,83,100
S038,Reading,86,100
S038,Writing,88,100
S039,Math,69,100
S039,Reading,73,100
S039,Writing,67,100
S040,Math,94,100
S040,Reading,96,100
S040,Writing,92,100
S041,Math,75,100
S041,Reading,79,100
S041,Writing,74,100
S042,Math,88,100
S042,Reading,85,100
S042,Writing,90,100
S043,Math,61,100
S043,Reading,66,100
S043,Writing,64,100
S044,Math,97,100
S044,Reading,93,100
S044,Writing,98,100
S045,Math,80,100
S045,Reading,84,100
S045,Writing,78,100
S046,Math,72,100
S046,Reading,76,100
S046,Writing,70,100
S047,Math,91,100
S047,Reading,88,100
S047,Writing,94,100
S048,Math,56,100
S048,Reading,61,100
S048,Writing,59,100
S049,Math,82,100
S049,Reading,87,100
S049,Writing,80,100
S050,Math,89,100
S050,Reading,92,100
S050,Writing,95,100
S051,Math,77,100
S051,Reading,80,100
S051,Writing,75,100
S052,Math,93,100
S052,Reading,90,100
S052,Writing,96,100
S053,Math,64,100
S053,Reading,68,100
S053,Writing,66,100
S054,Math,85,100
S054,Reading,89,100
S054,Writing,83,100
S055,Math,78,100
S055,Reading,82,100
S055,Writing,86,100
S056,Math,90,100
S056,Reading,94,100
S056,Writing,91,100
S057,Math,66,100
S057,Reading,71,100
S057,Writing,68,100
S058,Math,96,100
S058,Reading,98,100
S058,Writing,95,100
S059,Math,74,100
S059,Reading,77,100
S059,Writing,72,100
S060,Math,87,100
S060,Reading,84,100
S060,Writing,89,100
